RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021
394669,44,"Hartford, CT",Msa,CT,267833,272167,280467,286267,289900,289933,289933,289633,287933,286267,283233,281567,279900,281900,285267,291933,296617,302950,302950,302633,298933,297167,294133,291333,289133,289166,294333,301633,311632,319932,329932,336567,336567,333233,328267,325300,325333,330300,339933,348233,351567
395022,45,"Richmond, VA",Msa,VA,297908,298798,306422,318112,325832,329235,329545,327324,322546,315706,311052,309299,309265,311001,319628,331676,343672,348484,349188,344720,338275,330713,326589,326468,329218,334374,341266,350202,359957,370114,377315,381327,380175,379678,380308,383703,387037,391123,394873,396526,393483
394910,46,"New Orleans, LA",Msa,LA,246000,242910,243543,249877,257600,262633,264133,262800,260467,257600,254300,251633,250000,252192,256858,263492,269600,272733,272733,270767,269300,268667,268000,266533,263867,262867,264667,269667,276467,282800,289100,294267,297600,299467,299467,299767,298933,298633,300333,309633,319633
394425,47,"Buffalo, NY",Msa,NY,169751,171400,177997,186275,192871,196169,197785,196993,195377,192079,187924,182944,179679,180699,184030,190593,196828,202732,206063,203754,200819,196861,193267,190265,187594,187891,191189,197488,207382,217276,223873,223873,220575,218125,215230,212336,209259,219296,232967,249600,256567
395012,48,"Raleigh, NC",Msa,NC,357933,359633,366633,376633,383299,383299,381299,377933,374300,367633,362000,357333,355667,356333,363000,373333,383300,386633,383600,378600,375233,373233,369026,364026,360692,363233,369600,373589,379289,384623,393967,399933,403697,402587,398287,395413,395220,399187,404597,412267,418600
394388,49,"Birmingham, AL",Msa,AL,207050,207750,215383,226967,236267,239600,239900,239900,238267,234633,231000,229300,229600,233233,239900,249900,258600,265267,270307,271640,272362,272123,272090,269735,266600,265933,267567,269233,273233,278167,282200,282067,277167,274683,273150,276150,277633,280050,281148,286648,292265
395053,50,"Salt Lake City, UT",Msa,UT,416922,422205,429676,435706,442857,446734,448175,446041,441060,433732,428431,425976,426110,429668,437103,449598,460591,467563,465785,460484,455290,453511,454045,457638,464204,476086,484944,483715,480157,482160,492832,498204,497980,495525,500488,512246,,,,,
395031,51,"Rochester, NY",Msa,NY,186861,194121,204502,216807,225881,230019,226426,219202,211942,206861,201416,201416,206825,219525,232266,245442,252669,255391,253104,247660,238731,227841,220219,213721,213758,223195,239634,257747,266821,272125,272850,272487,265228,257242,250346,257605,265823,279008,284633,286267,279633
394640,52,"Grand Rapids, MI",Msa,MI,261717,270217,281917,291833,298300,299967,298300,293500,288467,285433,286900,288567,289900,292933,299543,308210,313510,313567,310900,305900,302167,296167,292833,289900,292933,297933,306300,313267,318267,319933,321600,321633,321600,318267,318233,319567,324153,332486,341153,348267,354933
395167,53,"Tucson, AZ",Msa,AZ,260933,264300,269333,275000,280000,281333,281300,280467,282467,282497,281497,279663,279667,282333,288167,294500,298633,297967,296150,293350,293183,293333,293833,292300,292633,294933,298300,298933,300508,308842,319842,329967,328300,323400,320066,321761,327725,336058,351030,367150,378817
753924,54,"Urban Honolulu, HI",Msa,HI,663353,661687,654650,648317,651317,658180,663180,668513,671167,669167,664167,659667,666333,668667,673167,669833,670500,669333,669000,667300,660633,654633,649667,649333,645333,640667,632667,623333,611333,606333,609000,609333,601000,591667,591333,599667,,,,,
395169,55,"Tulsa, OK",Msa,OK,192546,193828,197924,203239,206366,206991,206366,206335,206022,205991,205991,206147,206178,208992,215090,222906,229504,232631,234163,233381,234109,235672,238017,239134,237571,237540,240698,246951,254799,264148,272278,276968,276999,277779,277873,277300,276242,276909,290409,303167,313069
394619,56,"Fresno, CA",Msa,CA,335533,333496,333496,336224,340021,343439,343474,341747,338295,336488,334589,331171,326764,325211,327282,335222,346270,356972,365258,366259,365223,360217,355881,352774,352429,355073,360252,362492,368358,375263,385623,391841,393532,392597,392597,390905,390618,389396,392510,402543,415910
395238,57,"Worcester, MA",Msa,MA,278248,281428,287760,297268,308239,314631,317525,315776,314154,309670,306490,303024,301434,303342,311578,324298,335397,343378,344627,341447,336358,332916,331358,330054,329386,330976,340516,351328,363413,371394,377786,381443,381284,382417,385342,391600,,,,,
394415,58,"Stamford, CT",Msa,CT,683394,719306,762294,787183,793192,790739,776872,760196,745973,745618,742062,738684,735129,739004,751627,765849,772996,763751,746293,721404,704336,699038,704372,708959,712337,723004,735484,742773,752373,770152,789352,795397,785085,774418,760196,753085,747101,778528,807967,824633,814633
394312,59,"Albuquerque, NM",Msa,NM,239193,240825,245591,252119,258354,261455,259790,255220,249671,248039,248039,249508,249541,252772,257831,264360,268309,271410,272912,273728,273564,273662,273346,272040,273542,280220,288364,293423,300281,313354,328042,336216,336864,337060,335538,336209,336734,338965,346333,353000,362967
394308,60,"Albany, NY",Msa,NY,238737,242408,246443,247897,249533,251713,256003,259419,259419,258765,258983,258983,257893,258038,261491,266580,270215,272214,274358,273873,270202,266567,265271,265308,263490,264217,267852,275122,283119,295732,306636,312452,,,,293245,,,,,
394938,61,"Omaha, NE",Msa,NE,278620,286498,294908,305058,310352,310386,307009,303631,301082,294816,288365,285848,288719,297163,310673,323508,330264,327279,323316,318261,312125,302410,294123,291378,293945,302972,312135,318890,323137,327511,331868,331969,327561,324416,320833,320907,320884,327694,335577,342318,342652
394908,62,"New Haven, CT",Msa,CT,284322,290987,301142,313006,321381,326963,327277,322741,317472,313668,310178,304978,301105,302817,309759,319215,324310,324347,319077,314016,308747,305257,303165,301456,299711,299711,304910,310144,320962,330593,344551,348040,347168,340189,334955,326196,319534,316282,321600,334116,347417
394357,63,"Bakersfield, CA",Msa,CA,248963,251881,257301,263393,266888,268171,267690,264483,259673,254863,251368,248482,246847,245564,248162,254716,261129,264657,265830,264868,262941,258420,256143,254831,256146,257782,262303,264227,265830,266087,269293,276989,285038,293022,294626,289848,283774,281292,286633,293333,303333
394753,64,"Knoxville, TN",Msa,TN,264600,263567,267233,277233,286900,291933,290267,283600,276600,271300,266333,266000,263000,263967,266933,276767,288467,295800,299267,299900,298233,293267,284967,278333,275000,277333,285633,293933,303233,313267,328300,340000,339967,330267,315233,305233,299900,303233,312600,335933,355933
394653,65,"Greenville, SC",Msa,SC,255338,257011,261352,267360,271361,274299,274582,274267,269505,264787,260352,257867,256326,257458,262805,270669,277275,278187,274821,268656,265385,264001,263969,262554,261013,263906,268310,271456,274286,279319,284038,285925,284667,285302,283013,280000,275930,275097,280097,292926,304493
